"id","Gas_Type","Price","Scrape_Date"
"Nevada","Regular","$4.9700",2026-09-08
"Nevada","Mid","$5.2418",2026-09-08
"Nevada","Premium","$5.5738",2026-09-08
"Nevada","Diesel","$6.2794",2026-09-08
"Reno","Regular","$5.2533",2026-09-08
"Reno","Mid","$5.4125",2026-09-08
"Reno","Premium","$5.6437",2026-09-08
"Reno","Diesel","$6.4633",2026-09-08
"Las Vegas","Regular","$4.9580",2026-09-08
"Las Vegas","Mid","$5.2755",2026-09-08
"Las Vegas","Premium","$5.6247",2026-09-08
"Las Vegas","Diesel","$6.2837",2026-09-08
